qColumn,Var_Name,Var_Type,Desc,Notes
Crop,Crop,Crop,"Crop identifier. Options include corn, soy bean, oats/legume, and hay.",
Apply NH4,Apply_NH4,Expense,Expense of applying NH4.,Taken from ISU's estimated production cost.
Bale Hay,Bale_Hay,Expense,Cost of baling hay.,
Chop Stks.C.c.,Chop_StksCc,Expense,,
Corn RSL,Corn_RSL,Expense,,
Cover Crop,Cover_Crop,Expense,Cost of applying cover crop.,Includes seed and machinery costs.
Crop Ins.,Crop_Ins,Expense,Cost of purchasing crop insurance.,
Cultivation,Cultivation,Expense,Expense of cultivating a field.,
Drying Cost,Drying_Cost,Expense,Cost of drying corn.,
Fall Tillage,Fall_Tillage,Expense,Cost of applying fall tillage.,
Grain Handling,Grain_Handling,Expense,Grain handling fee.,
Grain Harvest,Grain_Harvest,Expense,Cost of harvesting grain.,
Hedge/P.L.,Hedge_per_PL,Expense,Hedge or priced later.," Under such contracts, a farmer delivers grain to an elevator but does not establish a price with the elevator until a later date chosen by the farmer. This is the cost associated with paying the local elevator to store one's grain until it is sold."
Herbicides,Herbicides,Expense,Herbicide costs.,Taken from ISU's estimated production cost.
Interest,Interest,Expense,,
Land Change,Land_Change,Expense,,
Maunure Charge,Maunure_Charge,Expense,Cost of applying manure to fields.,
Misc. Expense Per Acre,Misc_Expense_Per_Acre,Expense,Miscellaneous expenses per acre.,Taken from Iowa Farm business records.
Mov & Stor bales,Mov_and_Stor_bales,Expense,Cost of moving and storing hay bales.,
Mow/Windrow,Mow_per_Windrow,Expense,Cost of mowing/windrowing.,
Planting,Planting,Expense,Cost of planting fields.,
Purch. Pert.,Purch_Pert,Expense,,
Rake,Rake,Expense,Cost of raking (hay or oats).,
Rotary Hoe,Rotary_Hoe,Expense,Cost of using rotary hoe.,
Seed,Seed,Expense,Seed costs.,Computed using ISU's price/1000 seeds.
Shell/Grind,Shell_per_Grind,Expense,,
Spray/Walk,Spray_per_Walk,Expense,,
Spring Tillage,Spring_Tillage,Expense,Cost of applying spring tillage.,
Stack Residues,Stack_Residues,Expense,Cost of stacking crop residues.,
Storage,Storage,Expense,Cost of storing harvest.,"Traditional crops stored for 3 months, sold at first of the year. Thompson crops stored on the farm and fed to livestock."
Straw Costs,Straw_Costs,Expense,Cost of straw.,
Stubble Costs,Stubble_Costs,Expense,Cost of stubble.,
Windrow Oats,Windrow_Oats,Expense,Cost of windrowing oats.,
Crop Income,Crop_Income,Revenue,Revenue from crops.,Net revenue? Or total revenue?  Page 7-6 makes this seem like total revenue b/c they talk about then factoring in labor savings
Pasture/Stubble,Pasture_per_Stubble,Revenue,Revenue from pasture/stubble,
"Price, Bu./#",Price_Bu_per_pound,Unit Price,Price per bushel or pound of individual crops.,
Residue Income,Residue_Income,Revenue,Revenue from selling crop residue.,
Straw Income,Straw_Income,Revenue,Revenue from selling straw.,
Yield Per Acre. Bu./#,Yield_Per_Acre_Bu_per_pound,Unit Quantity,Crop yields per Acre in bushels or pounds.,Based on actual yield from Thompson farm or conventional Boone county average corn and soy bean yields.
Cost/bu. Or pound,Cost_per_bu_Or_pound,Derived,Total expenses divided by yield (Cost per bushel or pound).,
Labor Return,Labor_Return,Derived,Wages farmer paid himself.,Labor cost/return computed at 7-8 dollars/hour times field time (25 percent added to field time for travel and repairs.) Pertains to the wages Dick (the farmer) paid himself for the work he was doing (or the work his neighbor was doing for the two-crop rotation)
Labor&M.R. $/A,LaborandMR_dollar_per_A,Derived,Net income excluding the cost of labor and management.,Labor and management return/acre for all crop refers to any profit after all out of pocket costs are paid. Computed as Total Revenue + Labor Return - Total Expenses
